X,Y,Year,AOU,SpeciesTotal,State,Genus_species,log_elevation_km,NDVI,scale_NDVI,pop_dens,log_pop_dens
-113.5624829,45.0341095,"2019","5100",29,Idaho,Euphagus_cyanocephalus,0.684610849537659,171,0.694115542988394,0.873450815677643,-0.135303458174052
-115.0979702,44.4572034,"2019","5100",5,Idaho,Euphagus_cyanocephalus,0.784814369085769,129,-0.121219461355316,0.319703727960587,-1.14036056217549
-114.1743245,44.6127281,"2019","5100",14,Idaho,Euphagus_cyanocephalus,0.414755155015257,92,-0.839490774705727,0.323044866323471,-1.12996406037966
-113.5203605,44.722359,"2019","5100",19,Idaho,Euphagus_cyanocephalus,0.63710578967632,149,0.267035302617879,0.153479337692261,-1.87418932888334
-115.951094,43.7258179,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.132781111233818,183,0.927068401372311,2.77331852912903,1.02004462809632
-111.7010272,43.5343116,"2019","5100",5,Idaho,Euphagus_cyanocephalus,0.525320069916443,163,0.538813637399116,18.6622066497803,2.92650044404279
-114.2794532,42.3311564,"2019","5100",1,Idaho,Euphagus_cyanocephalus,0.458689869345462,124,-0.218283152348614,14.9997177124023,2.70803138175195
-112.519388,42.8548166,"2019","5100",14,Idaho,Euphagus_cyanocephalus,0.518198378095404,164,0.558226375597776,11.5406856536865,2.44587867471237
-116.8492509,48.4797897,"2019","5100",9,Idaho,Euphagus_cyanocephalus,-0.29035230100766,212,1.49003780913344,6.86740922927856,1.9267869214669
-116.0315611,44.4138961,"2019","5100",13,Idaho,Euphagus_cyanocephalus,0.364643113587909,199,1.23767221255087,6.3686466217041,1.85138698574004
-116.354524,43.459543,"2019","5100",15,Idaho,Euphagus_cyanocephalus,-0.175544572514931,135,-0.00474303216335723,89.8433990478516,4.4980681441741
-116.0228279,47.250284,"2019","5100",0,Idaho,Euphagus_cyanocephalus,-0.187535123846842,210,1.45121233273612,22.6752319335938,3.1212732245528
-116.8391482,46.4470219,"2019","5100",12,Idaho,Euphagus_cyanocephalus,-0.898942093539542,167,0.616464590193755,7.92774343490601,2.07036843461024
-116.5087254,44.1957002,"2019","5100",48,Idaho,Euphagus_cyanocephalus,0.122217632724249,110,-0.490061487129851,6.3686466217041,1.85138698574004
-114.7338639,44.2711977,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.76313955237998,151,0.305860779015199,0.323044866323471,-1.12996406037966
-113.3704824,44.2330004,"2019","5100",58,Idaho,Euphagus_cyanocephalus,0.66526197707041,95,-0.781252560109747,0.153479337692261,-1.87418932888334
-116.5088281,43.1584349,"2019","5100",0,Idaho,Euphagus_cyanocephalus,-0.0314906670913708,82,-1.03361815669232,89.8433990478516,4.4980681441741
-112.3960119,43.8124267,"2019","5100",2,Idaho,Euphagus_cyanocephalus,0.377751269540649,195,1.16002125975623,13.8171691894531,2.62591196302041
-111.2006106,43.8248162,"2019","5100",130,Idaho,Euphagus_cyanocephalus,0.598836501088704,197,1.19884673615355,18.6622066497803,2.92650044404279
-116.9936762,42.6439302,"2019","5100",31,Idaho,Euphagus_cyanocephalus,0.42918163472548,115,-0.392997796136552,0.148353651165962,-1.90815632071156
-114.0888322,42.431685,"2019","5100",23,Idaho,Euphagus_cyanocephalus,0.25231392861399,155,0.383511731809838,14.9997177124023,2.70803138175195
-113.8402099,42.2100017,"2019","5100",2,Idaho,Euphagus_cyanocephalus,0.409457129377702,119,-0.315346843341913,4.84227848052979,1.57738537039565
-112.3918149,42.4988307,"2019","5100",26,Idaho,Euphagus_cyanocephalus,0.605953968857568,167,0.616464590193755,11.5406856536865,2.44587867471237
-111.9538098,42.0021387,"2019","5100",21,Idaho,Euphagus_cyanocephalus,0.327143141332695,175,0.771766495783033,3.05133581161499,1.11557946575931
-114.876111,43.9110934,"2019","5100",24,Idaho,Euphagus_cyanocephalus,0.828551817566148,124,-0.218283152348614,2.9517548084259,1.08239984381228
-112.65036,43.521597,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.505008738444426,89,-0.897728989301706,13.8171691894531,2.62591196302041
-113.0094549,43.5493493,"2019","5100",3,Idaho,Euphagus_cyanocephalus,0.415415438961332,86,-0.955967203897685,0.546385228633881,-0.604431005069969
-112.8423869,43.743192,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.38253760346446,77,-1.13068184768562,13.8171691894531,2.62591196302041
-112.8721588,43.5602019,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.410784269585764,85,-0.975379942096345,13.8171691894531,2.62591196302041
-112.63692,43.5492585,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.478095799143072,92,-0.839490774705727,13.8171691894531,2.62591196302041
-116.1318742,47.8844941,"2019","5100",0,Idaho,Euphagus_cyanocephalus,0.000999500333083423,213,1.5094505473321,22.6752319335938,3.1212732245528
-116.3312759,47.5466971,"2019","5100",0,Idaho,Euphagus_cyanocephalus,-0.3078847797693,207,1.39297411814014,22.6752319335938,3.1212732245528
-116.3974909,48.5817917,"2019","5600",14,Idaho,Spizella_passerina,-0.444725822061467,214,1.52886328553076,6.86740922927856,1.9267869214669
-116.6672685,47.7825805,"2019","5600",14,Idaho,Spizella_passerina,-0.233193887167711,232,1.87829257310664,22.6752319335938,3.1212732245528
-115.8109268,47.2505272,"2019","5600",14,Idaho,Spizella_passerina,0.0305292050348228,218,1.6065142383254,1.2960512638092,0.259322152556122
-114.5424783,46.639823,"2019","5600",8,Idaho,Spizella_passerina,0.545227050483323,202,1.29591042714685,14.1738061904907,2.65139562670143
-116.1124649,45.8813157,"2019","5600",10,Idaho,Spizella_passerina,0.42918163472548,212,1.49003780913344,0.939858973026276,-0.0620254436689691
-113.5624829,45.0341095,"2019","5600",0,Idaho,Spizella_passerina,0.684610849537659,171,0.694115542988394,0.873450815677643,-0.135303458174052
-115.0979702,44.4572034,"2019","5600",18,Idaho,Spizella_passerina,0.784814369085769,129,-0.121219461355316,0.319703727960587,-1.14036056217549
-114.1743245,44.6127281,"2019","5600",25,Idaho,Spizella_passerina,0.414755155015257,92,-0.839490774705727,0.323044866323471,-1.12996406037966
-113.5203605,44.722359,"2019","5600",1,Idaho,Spizella_passerina,0.63710578967632,149,0.267035302617879,0.153479337692261,-1.87418932888334
